"booking_no","container_no_raw","carrier","vessel","voyage","origin_port","dest_port","etd","eta","service","status","qty_teu","created_time","notes"
"BK526180","MSCU2574597","MSC","SUNNY FREESIA","9302N","VNSGN","SGSIN","2026-01-20 00:03:15","2026-01-30 00:03:15","TP1","BOOKED","4","2026-01-11 00:03:15",""
"BK824729","CXDU3162237","COSCO","MAERSK HANOI","8404N","VNSGN","VNHPH","2026-01-21 04:08:15","2026-01-28 04:08:15","FE2","BOOKED","3","2026-01-04 04:08:15",""
"BK585173","MSCU2594265","ONE","MAERSK HANOI","2101N","VNSGN","CNSHA","2026-01-17 15:49:07","2026-02-15 15:49:07","SE3","CANCELLED","1","2025-12-19 15:49:07",""
"BK385628","CXDU4367936","MSC","MSC ISABELLA","3802N","VNSGN","USLAX","2026-01-15 15:26:52","2026-02-03 15:26:52","TP1","CANCELLED","3","2026-01-05 15:26:52",""
"BK214175","TCNU2390349","MSC","MSC ISABELLA","8301N","VNSGN","SGSIN","2026-01-14 04:49:20","2026-02-10 04:49:20","FE2","BOOKED","1","2026-01-06 04:49:20",""
"BK625965","MSCU2423731","MSC","SUNNY FREESIA","7902N","VNSGN","USLAX","2026-01-22 09:35:21","2026-02-01 09:35:21","FE2","LOADED","3","2025-12-24 09:35:21",""
"BK706485","TCNU8488554","COSCO","MAERSK HANOI","9901N","VNSGN","USLAX","2026-01-17 12:16:27","2026-01-30 12:16:27","TP1","CANCELLED","2","2025-12-21 12:16:27",""
"BK431611","CXDU8007024","COSCO","MAERSK HANOI","1801N","VNSGN","VNHPH","2026-01-22 09:53:29","2026-01-28 09:53:29","SE3","LOADED","4","2026-01-03 09:53:29",""
"BK425666","PONU2147751","ONE","SUNNY FREESIA","5401N","VNSGN","VNHPH","2026-01-24 18:00:28","2026-01-31 18:00:28","SE3","LOADED","5","2025-12-29 18:00:28",""
"BK245911","HLCU3859143","MAERSK","MAERSK HANOI","7203N","VNSGN","USLAX","2026-01-24 16:20:24","2026-02-03 16:20:24","SE3","LOADED","3","2025-12-26 16:20:24",""
"BK505779","MSCU2716049","MAERSK","SUNNY FREESIA","9301N","VNSGN","USLAX","2026-01-25 13:53:51","2026-02-12 13:53:51","FE2","LOADED","4","2026-01-18 13:53:51",""
"BK852038","CXDU4284379","MSC","KOTA GAYA","9105N","VNSGN","USLAX","2026-01-22 17:36:07","2026-01-29 17:36:07","FE2","BOOKED","2","2025-12-30 17:36:07",""
"BK207872","MSCU2873591","ONE","MSC ISABELLA","7302N","VNSGN","SGSIN","2026-01-25 10:43:44","2026-02-23 10:43:44","SE3","BOOKED","5","2026-01-12 10:43:44",""
"BK850978","PONU8758268","ONE","SUNNY FREESIA","4802N","VNSGN","USLAX","2026-01-09 10:55:18","2026-01-28 10:55:18","FE2","LOADED","1","2025-12-11 10:55:18",""
"BK645780","PONU3595683","MAERSK","MAERSK HANOI","6801N","VNSGN","SGSIN","2026-01-22 08:34:34","2026-02-12 08:34:34","TP1","CANCELLED","2","2026-01-14 08:34:34",""
"BK903152","PONU6768999","COSCO","SUNNY FREESIA","3303N","VNSGN","CNSHA","2026-01-20 17:24:33","2026-02-09 17:24:33","TP1","CANCELLED","4","2025-12-29 17:24:33",""
"BK788676","PONU3615144","ONE","SUNNY FREESIA","7702N","VNSGN","VNHPH","2025-12-01 16:00:58","2025-12-25 16:00:58","SE3","BOOKED","4","2025-11-05 16:00:58",""
"BK233935","PONU2469551","ONE","SUNNY FREESIA","1501N","VNSGN","USLAX","2026-01-20 15:54:18","2026-02-08 15:54:18","TP1","LOADED","5","2025-12-28 15:54:18",""
"BK899507","PONU1591490","MSC","KOTA GAYA","8204N","VNSGN","USLAX","2026-01-21 19:21:43","2026-02-04 19:21:43","TP1","CANCELLED","5","2025-12-24 19:21:43",""
"BK142512","TCNU3604301","MSC","KOTA GAYA","5603N","VNSGN","USLAX","2026-01-15 10:58:38","2026-01-26 10:58:38","TP1","CANCELLED","1","2025-12-25 10:58:38",""
"BK343452","CXDU1493629","CMA CGM","SUNNY FREESIA","7404N","VNSGN","VNHPH","2026-01-24 17:41:00","2026-02-09 17:41:00","SE3","BOOKED","4","2025-12-26 17:41:00",""
"BK636306","CXDU1749444","MAERSK","SUNNY FREESIA","6801N","VNSGN","CNSHA","2026-01-16 11:58:20","2026-01-28 11:58:20","FE2","BOOKED","4","2025-12-17 11:58:20",""
