inspection_id,container_no_raw,inspection_time,facility,damage_code,component,severity,estimated_cost,currency,inspector_id,photo_ref,remarks,source
INSP3049879,TCNU5795701,2026-01-11T07:09:00.000000,CT01-B-05-2,SC,DOOR,NO_DEFECT,280.5,USD,EMP899,img_3049.jpg,Hole found,paper_form
INSP7922334,TCNU5795701,2026-01-12T22:08:00.000000,CT04-Terminal,SC,FLOOR,CRITICAL,375.27,USD,EMP260,img_4411.jpg,Scratches,tablet
INSP8597016,PONU2597972,2026-01-08T07:51:00.000000,CT01-Yard-A,H1,SIDE,MINOR,56.16,USD,EMP595,img_3265.jpg,,mobile_app
INSP7628037,PONU2597972,2026-01-08T07:52:00.000000,CT03-A-01-1,BR,DOOR,MINOR,499.77,USD,EMP598,img_5530.jpg,,mobile_app
INSP9951855,PONU8326940,2025-12-29T04:09:00.000000,CT04-B-10-3,D1,FRAME,MINOR,370.75,USD,EMP258,img_2022.jpg,,mobile_app
INSP2377590,PONU8326940,2025-12-19T10:30:00.000000,CT03-A-01-1,D2,FLOOR,NO_DEFECT,286.34,USD,EMP395,img_7243.jpg,,tablet
INSP3098788,CXDU7349533,2026-01-10T20:20:00.000000,CT03-A-01-1,BR,SIDE,MAJOR,148.73,USD,EMP547,img_1760.jpg,Hole found,tablet
INSP8382035,CXDU7349533,2026-01-10T20:20:00.000000,CT01-A-12-1,BR,SIDE,MAJOR,296.98,USD,EMP549,img_3592.jpg,Bent frame,mobile_app
INSP3926894,TCNU1996246,2026-01-01T20:10:00.000000,CT02-C-20-4,BR,ROOF,CRITICAL,216.54,USD,EMP948,img_8013.jpg,Scratches,paper_form
INSP2586661,TCNU1996246,2026-01-10T12:52:00.000000,CT03-Depot,D1,DOOR,MAJOR,91.54,USD,EMP528,img_6237.jpg,,paper_form
INSP6171473,MSCU7651869,2026-01-22T03:38:00.000000,CT04-Terminal,H1,ROOF,CRITICAL,118.91,USD,EMP490,img_8414.jpg,Hole found,tablet
INSP1125834,MSCU7651869,2026-01-22T03:38:00.000000,CT02-Yard-B,D2,FRAME,CRITICAL,79.92,USD,EMP158,img_3623.jpg,Hole found,mobile_app
INSP3449368,PONU7359342,2026-01-11T19:04:39.898413,CT01-Yard-A,SC,FRAME,CRITICAL,71.13,USD,EMP739,img_5531.jpg,Hole found,paper_form
INSP5893828,PONU7359342,2026-01-15T00:38:00.000000,CT04-Terminal,D2,FRAME,MAJOR,465.54,USD,EMP214,img_2439.jpg,Scratches,paper_form
INSP8813335,PONU7359342,2026-01-13T15:15:30.398247,CT02-C-20-4,BR,SIDE,NO_DEFECT,237.03,USD,EMP208,img_7350.jpg,Hole found,tablet
INSP9819195,HLCU9655531,2026-01-13T11:20:00.000000,CT01-A-12-1,H1,FRAME,MAJOR,452.57,USD,EMP267,img_2671.jpg,Scratches,mobile_app
INSP2997691,HLCU9655531,2026-01-14T20:21:00.000000,CT01-A-12-1,H1,FLOOR,CRITICAL,300.6,USD,EMP922,img_5854.jpg,,tablet
INSP2880163,HLCU8719985,2026-01-19T10:51:00.000000,CT01-A-12-1,D1,ROOF,CRITICAL,238.16,USD,EMP161,img_5481.jpg,Scratches,tablet
INSP3014389,HLCU8719985,2026-01-16T02:18:33.569831,CT01-A-12-1,D1,ROOF,MAJOR,,USD,EMP136,img_8028.jpg,Scratches,paper_form
INSP5815253,HLCU8719985,2026-01-13T23:16:20.952311,CT01-Yard-A,BR,FRAME,CRITICAL,280.87,USD,EMP902,img_9031.jpg,,mobile_app
INSP2292242,HLCU8719985,2026-01-10T14:52:11.513136,CT01-A-12-1,SC,SIDE,CRITICAL,499.25,USD,EMP740,img_7026.jpg,,tablet
INSP7815892,HLCU8719985,2026-01-13T12:07:59.814385,CT03-A-01-1,FL,SIDE,MINOR,310.29,USD,EMP654,img_7978.jpg,Scratches,paper_form
INSP6251425,HLCU8719985,2026-01-13T00:32:11.134020,CT03-Depot,FL,FRAME,MAJOR,409.71,USD,EMP595,img_4638.jpg,Scratches,mobile_app
