"event_type","event_time","container_no_raw","type_raw","remark_raw","cost","currency","facility","source_file","source_row"
"CLEANING","2026-01-19T00:23:22.600000","CXDU2073088","CHEMICAL","ODOR","40.96","USD","CT01-B-05-2","cleaning_log_2024.csv","18148"
"CLEANING","2026-01-20T00:04:11.400000","CXDU2073088","STEAM","ODOR","26.53","USD","CT04-Terminal","cleaning_log_2024.csv","16437"
"CLEANING","2026-01-20T00:07:05.800000","CXDU2073088","CHEMICAL","OIL STAIN","18.83","USD","CT02-Yard-B","cleaning_log_2024.csv","0"
"CLEANING","2026-01-20T00:09:14.200000","CXDU2073088","WATER","DIRTY FLOOR","25.36","USD","CT04-Terminal","cleaning_log_2024.csv","9989"
"CLEANING","2026-01-04T00:31:39.200000","CXDU1724902","CHEMICAL","","105.55","USD","CT01-Yard-A","cleaning_log_2024.csv","5184"
"CLEANING","2026-01-05T00:28:39.800000","CXDU1724902","SWEEP","","42.93","USD","CT03-Depot","cleaning_log_2024.csv","1"
"CLEANING","2026-01-05T00:55:45.400000","CXDU1724902","WATER","ODOR","83.25","USD","CT03-A-01-1","cleaning_log_2024.csv","13580"
"CLEANING","2026-01-14T00:19:51.600000","PONU7358363","SWEEP","DIRTY FLOOR","97.48","USD","CT03-A-01-1","cleaning_log_2024.csv","7718"
"CLEANING","2026-01-14T00:05:05.700000","PONU7358363","STEAM","ODOR","15.62","USD","CT01-Yard-A","cleaning_log_2024.csv","1651"
"CLEANING","2026-01-14T00:15:13.300000","PONU7358363","SWEEP","ODOR","61.92","USD","CT03-Depot","cleaning_log_2024.csv","20880"
"CLEANING","2026-01-15T00:40:48.300000","PONU7358363","STEAM","OIL STAIN","90.4","USD","CT02-Yard-B","cleaning_log_2024.csv","2"
"CLEANING","2026-01-10T00:49:09.800000","TCNU9458153","SWEEP","","38.54","USD","CT04-Terminal","cleaning_log_2024.csv","3"
"CLEANING","2026-01-01T00:39:27.000000","CXDU1717637","WATER","","51.32","USD","CT01-B-05-2","cleaning_log_2024.csv","7194"
"CLEANING","2026-01-02T00:28:18.100000","CXDU1717637","WATER","","53.62","USD","CT04-B-10-3","cleaning_log_2024.csv","4"
"CLEANING","2026-01-03T00:20:59.500000","CXDU1717637","WATER","DIRTY FLOOR","-69.47","USD","CT02-Yard-B","cleaning_log_2024.csv","13335"
"CLEANING","2025-12-29T00:55:41.400000","HLCU4300916","CHEMICAL","ODOR","26.39","USD","CT01-B-05-2","cleaning_log_2024.csv","9023"
"CLEANING","2025-12-30T00:38:09.900000","HLCU4300916","CHEMICAL","ODOR","68.2","USD","CT02-C-20-4","cleaning_log_2024.csv","8"
"CLEANING","2026-01-08T00:37:10.000000","PONU4435695","STEAM","ODOR","19.69","USD","CT04-Terminal","cleaning_log_2024.csv","9"
"CLEANING","2026-01-13T00:59:25.900000","CXDU3376483","WATER","","53.84","USD","CT01-B-05-2","cleaning_log_2024.csv","10"
"CLEANING","2026-01-13T00:47:31.600000","CXDU3376483","WATER","","61.79","USD","CT04-B-10-3","cleaning_log_2024.csv","14560"
"CLEANING","2026-01-14T00:33:07.700000","CXDU3376483","SWEEP","","96.77","USD","CT04-Terminal","cleaning_log_2024.csv","9150"
