"event_type","event_time","container_no_raw","eir","seq","type_raw","opt","move","booking","truck","vessel","voyage","dest","grade","position","location","source_file","source_row"
"GATE_IN","2025-12-12T00:24:00.000000","MSCU6119103","407542","9328","40GP","CMA","HR","BK487657","51C-2664","EVER GIVEN","3004N","USLAX","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","9328"
"GATE_IN","2025-12-12T00:26:00.000000","PONU8345560","755723","90","40HC","CMA","HR","BK717849","60C-1389","MAERSK HANOI","2501N","CNSHA","B","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","90"
"GATE_IN","2025-12-12T00:33:00.000000","HLCU4400416","904462","9926","40HC","CMA","HR","BK664903","51C-2664","SUNNY FREESIA","4401N","USLAX","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","9926"
"GATE_IN","2025-12-12T01:37:00.000000","HLCU8896706","113448","11360","40HC","KMT","HR","BK557501","50H-9193","EVER GIVEN","9703N","VNHPH","B","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","11360"
"GATE_IN","2025-12-12T02:59:00.000000","PONU1204175","268669","9432","20GP","KMT","HR","BK709661","50H-9193","KOTA GAYA","9102N","USLAX","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","9432"
"GATE_IN","2025-12-12T04:06:00.000000","PONU9711542","268338","9326","20GP","MSC","HR","BK101614","60C-1389","MSC ISABELLA","7901N","VNHPH","B","CT03-A-01-1","CT03-A","gate_activity.xlsx","9326"
"GATE_IN","2025-12-12T04:20:00.000000","TCNU9043382","159443","4084","20GP","MSC","HR","BK824079","50H-9193","EVER GIVEN","6205N","USLAX","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","4084"
"GATE_IN","2025-12-12T04:23:00.000000","PONU5620209","550129","20690","20GP","ONE","HR","BK133290","51C-2664","MSC ISABELLA","3302N","CNSHA","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","20690"
"GATE_IN","2025-12-12T04:45:00.000000","MSCU9633403","747386","1652","40GP","ONE","HR","BK914099","51C-2664","MSC ISABELLA","4501N","VNHPH","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","1652"
"GATE_IN","2025-12-12T05:51:00.000000","CXDU7271448","658610","19932","40HC","CMA","HR","BK745041","51C-2664","MAERSK HANOI","8102N","CNSHA","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","19932"
"GATE_IN","2025-12-12T06:06:00.000000","CXDU5920043","666430","19416","40HC","ONE","HR","BK703537","60C-1389","MSC ISABELLA","3905N","CNSHA","A","CT01-A-12-1","CT01-A","gate_activity.xlsx","19416"
"GATE_IN","2025-12-12T06:09:00.000000","PONU8351716","805479","5108","40HC","ONE","HR","BK200431","50H-9193","EVER GIVEN","5205N","VNHPH","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","5108"
"GATE_IN","2025-12-12T06:28:00.000000","HLCU5366725","116203","7230","40HC","MSC","HR","BK320886","51C-2664","SUNNY FREESIA","3401N","VNHPH","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","7230"
"GATE_IN","2025-12-12T06:58:00.000000","PONU4075712","575289","5230","40GP","ONE","HR","BK324648","50H-9193","SUNNY FREESIA","1503N","USLAX","B","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","5230"
"GATE_IN","2025-12-12T07:03:00.000000","CXDU2041925","866645","22000","20GP","CMA","HR","BK903839","60C-1389","MAERSK HANOI","5201N","CNSHA","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","22000"
"GATE_IN","2025-12-12T07:11:00.000000","TCNU2690606","786723","18492","20GP","ONE","HR","BK513767","50H-9193","MSC ISABELLA","4104N","CNSHA","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","18492"
"GATE_IN","2025-12-12T07:19:00.000000","CXDU1719513","565707","18798","40HC","ONE","HR","BK436546","50H-9193","SUNNY FREESIA","1404N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","18798"
"GATE_IN","2025-12-12T07:34:00.000000","PONU7884270","683569","21006","40GP","CMA","HR","BK270556","50H-9193","EVER GIVEN","9803N","USLAX","B","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","21006"
"GATE_IN","2025-12-12T07:38:00.000000","TCNU8301035","715242","8564","40HC","KMT","HR","BK775731","51C-2664","MSC ISABELLA","2204N","CNSHA","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","8564"
"GATE_IN","2025-12-12T07:58:00.000000","TCNU6290780","554146","11520","40GP","CMA","HR","BK855181","60C-1389","MSC ISABELLA","6204N","USLAX","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","11520"
"GATE_IN","2025-12-12T08:10:00.000000","CXDU1714943","514353","1734","40GP","ONE","HR","BK341338","60C-1389","EVER GIVEN","6804N","CNSHA","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","1734"
"GATE_IN","2025-12-12T09:00:00.000000","CXDU4696933","838960","2598","40HC","CMA","HR","BK607455","51C-2664","MAERSK HANOI","3705N","USLAX","B","CT03-Depot","CT03-Depot","gate_activity.xlsx","2598"
"GATE_IN","2025-12-12T09:07:00.000000","TCNU4058938","701469","9450","20GP","KMT","HR","BK808824","50H-9193","KOTA GAYA","2603N","USLAX","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","9450"
"GATE_IN","2025-12-12T09:09:00.000000","HLCU7304024","377954","17400","20GP","CMA","HR","BK436299","50H-9193","EVER GIVEN","6605N","USLAX","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","17400"
"GATE_IN","2025-12-12T09:12:00.000000","HLCU2096912","218316","6844","40GP","CMA","HR","BK948487","50H-9193","MAERSK HANOI","9003N","USLAX","A","CT04-B-10-3","CT04-B","gate_activity.xlsx","6844"
"GATE_IN","2025-12-12T09:49:00.000000","CXDU1087210","188079","5762","20GP","ONE","HR","BK213034","50H-9193","MSC ISABELLA","7705N","VNHPH","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","5762"
"GATE_IN","2025-12-12T09:57:00.000000","CXDU3132283","614366","22680","40HC","KMT","HR","BK641682","51C-2664","KOTA GAYA","4504N","VNHPH","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","22680"
"GATE_IN","2025-12-12T10:05:00.000000","MSCU6707445","735367","8364","40HC","ONE","HR","BK196589","51C-2664","SUNNY FREESIA","8702N","USLAX","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","8364"
"GATE_IN","2025-12-12T10:05:00.000000","PONU5305842","990610","17118","40HC","MSC","HR","BK397281","51C-2664","KOTA GAYA","8504N","USLAX","B","CT02-C-20-4","CT02-C","gate_activity.xlsx","17118"
"GATE_IN","2025-12-12T10:16:00.000000","MSCU6941207","824763","1754","40HC","KMT","HR","BK929602","51C-2664","EVER GIVEN","3902N","VNHPH","A","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","1754"
"GATE_IN","2025-12-12T10:28:00.000000","TCNU6117677","983453","5178","40GP","KMT","HR","BK105842","60C-1389","MSC ISABELLA","1302N","VNHPH","B","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","5178"
