event_time,container_no_raw,size_raw,location_raw,note_raw,stage,source_file,source_row
2026-01-03T00:53:00.000000,PONU3531030,45,CT03-Depot,Floor broken,ESTIMATE,mnr_system_dump.xlsx,0
2026-01-01T19:10:01.927168,PONU3531030,20,CT02-C-20-4,Dent on panel,APPROVAL,mnr_system_dump.xlsx,18133
2026-01-02T21:28:57.171903,PONU3531030,20,CT04-Terminal,,COMPLETED,mnr_system_dump.xlsx,1174
2026-01-07T12:38:00.000000,MSCU2422744,40,CT01-B-05-2,Floor broken,ESTIMATE,mnr_system_dump.xlsx,173
2026-01-16T04:30:00.000000,MSCU2422744,20,CT01-B-05-2,,COMPLETED,mnr_system_dump.xlsx,1
2026-01-04T09:26:18.847834,TCNU3484548,40,CT04-B-10-3,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,19494
2026-01-07T19:04:00.000000,TCNU3484548,20,CT04-Terminal,,AUTHORIZATION,mnr_system_dump.xlsx,10574
2025-12-29T22:05:00.000000,TCNU3484548,40,CT01-B-05-2,Door hinge loose,REPAIRED,mnr_system_dump.xlsx,21215
2026-01-06T17:38:37.245397,TCNU3484548,20,CT01-B-05-2,,COMPLETED,mnr_system_dump.xlsx,2
2026-01-14T13:56:00.000000,HLCU2351564,45,CT02-C-20-4,,ESTIMATE,mnr_system_dump.xlsx,3
2026-01-08T08:46:00.000000,HLCU2351564,40,CT01-A-12-1,Dent on panel,COMPLETED,mnr_system_dump.xlsx,20401
2026-01-20T17:25:00.000000,TCNU4863648,40,CT01-Yard-A,,ESTIMATE,mnr_system_dump.xlsx,17985
2026-01-20T02:54:00.000000,TCNU4863648,20,CT04-Terminal,,COMPLETED,mnr_system_dump.xlsx,4
2026-01-16T06:35:00.000000,PONU9077764,45,CT01-A-12-1,Floor broken,ESTIMATE,mnr_system_dump.xlsx,5
2026-01-16T06:35:00.000000,PONU9077764,45,CT04-Terminal,Dent on panel,COMPLETED,mnr_system_dump.xlsx,16342
2026-01-03T20:17:00.000000,CXDU8283472,20,CT02-C-20-4,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,6
2026-01-18T08:21:45.151184,PONU8597260,40,CT01-B-05-2,,ESTIMATE,mnr_system_dump.xlsx,7
2026-01-18T23:23:00.000000,PONU8597260,45,CT03-Depot,,APPROVAL,mnr_system_dump.xlsx,9236
2026-01-18T13:06:04.373626,PONU8597260,45,CT04-Terminal,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,5065
2026-01-10T08:33:50.258426,HLCU6623566,40,CT01-Yard-A,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,8
2026-01-11T05:35:00.000000,HLCU6623566,45,CT03-A-01-1,Dent on panel,APPROVAL,mnr_system_dump.xlsx,9172
2026-01-11T05:35:00.000000,HLCU6623566,20,CT01-Yard-A,,COMPLETED,mnr_system_dump.xlsx,10018
2026-01-21T20:52:12.268322,PONU8802467,45,CT03-Depot,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,9
2026-01-22T06:41:00.000000,PONU8802467,20,CT04-B-10-3,,AUTHORIZATION,mnr_system_dump.xlsx,20898
2026-01-22T02:42:02.193847,PONU8802467,45,CT04-Terminal,Dent on panel,APPROVAL,mnr_system_dump.xlsx,9587
2026-01-21T05:50:57.569355,PONU8802467,45,CT01-Yard-A,,REPAIRED,mnr_system_dump.xlsx,18031
2026-01-22T06:41:00.000000,PONU8802467,20,CT03-Depot,,COMPLETED,mnr_system_dump.xlsx,16544
2026-01-19T22:49:00.000000,CXDU1357877,45,CT01-A-12-1,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,10
2026-01-21T21:42:00.000000,CXDU1357877,45,CT03-Depot,Dent on panel,COMPLETED,mnr_system_dump.xlsx,19141
2026-01-19T21:21:00.000000,TCNU4520424,40,CT03-A-01-1,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,11
2026-01-19T21:22:00.000000,TCNU4520424,45,CT01-Yard-A,Dent on panel,COMPLETED,mnr_system_dump.xlsx,16600
2026-01-12T07:27:00.000000,TCNU8888737,20,CT04-B-10-3,Dent on panel,APPROVAL,mnr_system_dump.xlsx,12
2026-01-23T08:00:00.000000,PONU1983332,20,CT03-A-01-1,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,15339
2026-01-23T08:00:00.000000,PONU1983332,20,CT04-B-10-3,Floor broken,COMPLETED,mnr_system_dump.xlsx,13
2026-01-15T21:16:00.000000,CXDU8234593,45,CT01-A-12-1,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,15
2026-01-13T22:53:00.000000,CXDU8234593,40,CT01-B-05-2,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,8905
2026-01-23T19:40:00.000000,HLCU2996481,40,CT03-A-01-1,Floor broken,ESTIMATE,mnr_system_dump.xlsx,3299
2026-01-23T19:40:00.000000,HLCU2996481,45,CT01-A-12-1,,COMPLETED,mnr_system_dump.xlsx,16
2026-01-11T12:33:00.000000,HLCU2219704,40,CT04-Terminal,,AUTHORIZATION,mnr_system_dump.xlsx,17
2026-01-14T11:21:00.000000,CXDU2677112,20,CT03-A-01-1,Floor broken,ESTIMATE,mnr_system_dump.xlsx,18
2026-01-14T11:21:00.000000,CXDU2677112,40,CT04-B-10-3,,COMPLETED,mnr_system_dump.xlsx,16434
2026-01-03T10:39:00.000000,TCNU8621596,40,CT02-C-20-4,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,8334
2026-01-03T06:16:19.139624,TCNU8621596,45,CT02-Yard-B,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,19
2026-01-03T10:39:00.000000,TCNU8621596,40,CT01-Yard-A,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,5732
2026-01-05T12:54:00.000000,TCNU2071623,45,CT03-A-01-1,,ESTIMATE,mnr_system_dump.xlsx,11635
2026-01-05T12:54:00.000000,TCNU2071623,20,CT04-Terminal,,COMPLETED,mnr_system_dump.xlsx,21
2026-01-22T02:05:09.838480,TCNU5777429,45,CT04-Terminal,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,1269
2026-01-20T07:07:37.312582,TCNU5777429,45,CT04-Terminal,Dent on panel,AUTHORIZATION,mnr_system_dump.xlsx,22
2026-01-23T01:20:00.000000,TCNU5777429,20,CT02-C-20-4,Dent on panel,REPAIRED,mnr_system_dump.xlsx,17025
2026-01-23T01:20:00.000000,TCNU5777429,45,CT03-A-01-1,,COMPLETED,mnr_system_dump.xlsx,1087
2026-01-08T03:49:00.000000,PONU9372240,20,CT02-Yard-B,Floor broken,ESTIMATE,mnr_system_dump.xlsx,13552
2026-01-07T15:52:03.563402,PONU9372240,40,CT03-A-01-1,Door hinge loose,AUTHORIZATION,mnr_system_dump.xlsx,12802
2026-01-06T09:55:00.000000,PONU9372240,40,CT03-Depot,Door hinge loose,REPAIRED,mnr_system_dump.xlsx,23
2026-01-07T19:46:06.452648,PONU9372240,45,CT03-Depot,,COMPLETED,mnr_system_dump.xlsx,11633
2025-12-24T21:24:00.000000,MSCU9237350,45,CT02-Yard-B,,AUTHORIZATION,mnr_system_dump.xlsx,24
2026-01-11T13:12:00.000000,HLCU1563882,40,CT02-Yard-B,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,17998
2026-01-11T09:10:17.406143,HLCU1563882,20,CT01-B-05-2,Dent on panel,APPROVAL,mnr_system_dump.xlsx,2969
2026-01-11T13:12:00.000000,HLCU1563882,20,CT04-B-10-3,Floor broken,COMPLETED,mnr_system_dump.xlsx,27
2026-01-24T10:34:27.449180,HLCU2766932,45,CT04-Terminal,,ESTIMATE,mnr_system_dump.xlsx,30
2026-01-24T07:31:45.183938,HLCU2766932,20,CT04-Terminal,Dent on panel,APPROVAL,mnr_system_dump.xlsx,3683
2026-01-24T12:49:00.000000,HLCU2766932,45,CT01-B-05-2,,COMPLETED,mnr_system_dump.xlsx,19838
2026-01-06T01:49:00.000000,CXDU3402176,45,CT01-A-12-1,,ESTIMATE,mnr_system_dump.xlsx,32
2025-12-20T05:28:00.000000,CXDU3402176,20,CT03-A-01-1,,COMPLETED,mnr_system_dump.xlsx,18998
2025-12-31T10:23:00.000000,MSCU5674108,20,CT04-B-10-3,,APPROVAL,mnr_system_dump.xlsx,34
2026-01-04T08:49:00.000000,MSCU6142381,40,CT01-A-12-1,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,11578
2025-12-24T02:10:00.000000,MSCU6142381,45,CT01-Yard-A,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,542
2026-01-04T08:49:00.000000,MSCU6142381,45,CT04-Terminal,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,35
2026-01-04T12:25:00.000000,MSCU4160928,40,CT04-B-10-3,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,17999
