move_id,container_no_raw,move_time,facility,from_block,from_row,from_bay,from_tier,to_block,to_row,to_bay,to_tier,move_reason,equipment_id,operator_id
bfeb10a0-6b73-46cb-a9ae-d6c69d0796d6,TCNU4487115,2026-01-12T14:08:27.823485,CT01-Yard-A,A1,72,5,2,C2,72,26,5,REHANDLE,RTG44,OP5209
db333e7f-f4e1-4c63-b3c0-b4dd505fb1e1,TCNU4487115,2026-01-15T13:14:00.000000,CT04-Terminal,C1,39,38,5,A2,73,27,2,SHIFTING,RTG69,OP2198
c2909f59-040a-41a9-bdbc-214e68590479,TCNU4487115,2026-01-11T22:21:00.000000,CT01-A-12-1,B2,65,38,3,B2,47,38,1,RECEIVE,RTG84,OP1046
125e9cea-3134-46f5-b087-f533677d65f7,TCNU3749393,2026-01-22T11:00:00.000000,CT01-B-05-2,B2,56,2,2,A1,17,20,2,DELIVERY,RTG70,OP5533
b22c34a3-bc22-4d91-8407-a83eee923b43,PONU3855506,2026-01-18T17:44:00.000000,CT03-Depot,A2,48,16,2,A2,40,32,4,REHANDLE,RTG59,OP9819
5c51b47f-9402-4642-ad09-d0bfbf4d32a3,PONU3855506,2026-01-18T17:44:00.000000,CT04-B-10-3,C2,59,8,1,A1,52,14,3,REHANDLE,RTG24,OP4588
803a2cf7-4436-4fd4-b083-acd67b46cb6c,MSCU4187962,2026-01-02T21:35:11.361649,CT01-Yard-A,B2,4,27,2,C2,27,27,1,REHANDLE,RTG65,OP6715
09ebbae3-1ac5-45bc-8f6a-48dd192f587f,MSCU4187962,2026-01-02T11:52:00.000000,CT04-B-10-3,C2,13,2,2,A1,54,18,2,REHANDLE,RTG65,OP6213
675dcce5-7b4f-4718-bf23-203f663acf0c,MSCU4187962,2026-01-03T04:11:09.376316,CT02-Yard-B,B1,78,10,4,B1,28,8,3,DELIVERY,RTG54,OP3606
96eb0f88-df87-4bc6-ade8-0ad6540e1669,MSCU4187962,2026-01-03T06:45:29.542553,CT01-A-12-1,A2,43,25,5,C1,39,35,2,INSPECTION,RTG90,OP8319
4903b0c5-dd8e-45ae-ac96-0350249fe711,MSCU4187962,2026-01-03T07:04:00.000000,CT04-Terminal,C2,1,5,1,A2,61,27,5,DELIVERY,RTG42,OP6016
e05fb0ff-7f04-41b8-96b8-39bc3e07f71a,TCNU9798332,2026-01-22T22:38:00.000000,CT03-A-01-1,A2,65,8,1,B1,83,8,3,REHANDLE,RTG67,OP4131
bbb51b6c-6fd5-4024-9174-cc53418e2f7e,TCNU9798332,2026-01-22T22:39:00.000000,CT01-Yard-A,A1,70,39,1,C1,97,16,5,SHIFTING,RTG67,OP7073
3390fc89-9e21-4f04-9f6c-8e93f6c9435a,CXDU2426675,2026-01-06T04:39:00.000000,CT03-Depot,B2,98,12,1,A1,27,10,1,DELIVERY,RTG97,OP6123
010ed21c-47ed-4a4e-ac2d-dc984c69e92b,CXDU2426675,2026-01-13T02:05:47.503001,CT04-Terminal,A2,64,30,4,C1,65,22,3,REHANDLE,RTG70,OP9873
dc07b171-2b6c-477e-9017-16d362483693,CXDU2426675,2026-01-13T14:54:00.000000,CT04-B-10-3,,93,36,2,,91,7,2,REHANDLE,RTG78,OP5343
29fab358-87b6-4624-a626-a7ed1ca90eba,CXDU5512305,2026-01-20T07:00:00.000000,CT02-Yard-B,B1,64,10,4,B1,39,19,2,DELIVERY,RTG75,OP1779
cbabdad3-770d-4bb0-86c2-f9eb9cbc5892,CXDU5512305,2026-01-21T23:44:00.000000,CT02-Yard-B,C2,19,24,3,C2,48,17,4,SHIFTING,RTG10,OP8029
800a1ae6-106d-4143-8e8b-7168255cb04b,HLCU1864042,2026-01-21T21:07:00.000000,CT01-B-05-2,C1,93,38,3,C2,40,24,4,RECEIVE,RTG99,OP7678
8b379290-4cd4-4699-84d8-55de6beed75c,HLCU1864042,2026-01-21T21:06:00.000000,CT01-B-05-2,A1,11,33,1,B1,76,13,3,DELIVERY,RTG60,OP6524
e77ede23-212c-46ea-a46e-c712682026f3,HLCU1864042,2026-01-21T21:06:42.568349,CT01-Yard-A,,92,22,4,,35,6,4,RECEIVE,RTG83,OP4708
da85ed2d-8b61-4312-8fa1-9eeb7db4f042,HLCU1864042,2026-01-21T21:06:32.918944,CT01-B-05-2,C1,43,31,5,B1,7,6,1,DELIVERY,RTG16,OP1343
f2a1d67d-952a-4abf-bc36-5bc4de860f13,HLCU1864042,2026-01-21T21:06:46.208687,CT03-Depot,A1,62,37,1,A2,97,16,4,DELIVERY,RTG81,OP5387
07ea3dfb-6eae-4863-bcb4-39b6f2c5795f,MSCU8371964,2025-12-14T12:22:00.000000,CT01-B-05-2,A2,75,18,1,C2,28,19,2,SHIFTING,RTG03,OP5178
8e68f8c4-e77d-4b61-914e-07ed23e2539f,MSCU8371964,2025-12-14T01:20:47.435356,CT01-Yard-A,A2,51,23,4,B2,46,3,4,RECEIVE,RTG50,OP2475
7ba33f4b-1b2f-4e74-893d-03aafe4dd951,MSCU8371964,2025-12-13T14:05:00.000000,CT03-A-01-1,C1,45,13,1,B1,40,3,5,DELIVERY,RTG75,OP7724
40e357bc-dfb1-4ff1-ac96-196a406bdb42,HLCU7216973,2026-01-21T01:19:00.000000,CT02-Yard-B,C2,1,2,3,B1,46,17,4,SHIFTING,RTG38,OP4861
75a5d372-599b-4226-b3b5-17cd384109b4,HLCU7216973,2025-12-21T22:06:00.000000,CT04-B-10-3,B1,23,16,3,A1,99,26,3,REHANDLE,RTG56,OP2912
8faad67a-c6c5-4f88-9b51-90906d2d57db,PONU2114834,2025-12-25T15:26:00.000000,CT02-C-20-4,C2,13,26,5,A2,8,14,5,INSPECTION,RTG06,OP7230
144f21ff-3c48-4b55-b36b-bd0bfedf4110,PONU2114834,2026-01-09T03:33:00.000000,CT03-Depot,B1,24,24,2,B2,26,13,3,SHIFTING,RTG42,OP8981
de18395c-ee9c-482a-9da6-5f948c995d71,MSCU8869206,2026-01-08T22:47:00.000000,CT01-A-12-1,B1,43,3,2,B2,62,2,3,INSPECTION,RTG41,OP3858
4f189240-4bc4-443f-8af5-577e435d08c8,MSCU8869206,2026-01-12T13:50:00.000000,CT01-B-05-2,B2,6,26,3,A2,50,15,1,INSPECTION,RTG27,OP2862
c0fb647f-7944-4be0-9919-a0c4c21d9bb6,MSCU8869206,2026-01-09T16:00:48.652218,CT01-B-05-2,C1,93,32,4,B2,5,18,2,INSPECTION,RTG21,OP1978
ce27e9fc-86f6-48f7-a37c-6d506a4ca8d4,HLCU6035828,2026-01-10T19:36:30.086229,CT01-B-05-2,C1,53,34,1,A2,1,26,3,DELIVERY,RTG26,OP8984
14e66192-f59b-4b07-be82-a377dff81097,HLCU6035828,2026-01-10T08:48:47.034230,CT04-Terminal,A2,74,22,3,B2,4,16,2,INSPECTION,RTG52,OP4335
d93cbf1f-f336-4b28-84d7-96cb85c8c5f8,HLCU6035828,2026-01-02T13:02:00.000000,CT02-Yard-B,B2,75,36,5,B2,8,7,5,REHANDLE,RTG62,OP1703
6f3a4be2-927d-422e-9d0d-66060bb05318,HLCU6035828,2026-01-09T12:27:44.929448,CT03-A-01-1,B1,86,18,5,B1,83,39,4,REHANDLE,RTG90,OP2297
